Probe	1H	4H	10H	20H	28H	36H	44H	48H	72H	1W	4W
Saa2	0.393801682	8.269069166	9.346695991	9.597452609	9.192303913	8.060449966	8.366288092	7.359468686	7.107393374	5.622069312	-0.115916092
Lcn2	0.465092019	7.737590913	8.479264148	8.758990215	8.207365879	7.452923524	8.02403902	7.599955997	6.992503609	4.43712134	-0.386288536
Saa1	0.191561976	6.689356727	7.630835508	7.870523487	7.554108244	6.637575535	6.917841609	6.085834701	5.819773435	4.828225164	0.16700375
Saa3	0.335178406	5.430299677	4.662834386	6.830223101	4.550448976	3.585352429	3.308360675	2.627557634	2.308963568	0.650243704	-0.357735775
Mt2	4.902124136	7.873654934	6.010213308	5.675275174	6.702366543	5.110734422	7.007411974	6.286049782	5.390371175	0.487104586	-1.914381113
D17H6S56E-5	-0.265761472	0.188566027	0.081735222	0.577034685	2.160192871	4.572344628	7.066329875	6.522599552	5.459712127	1.980739554	0.057316583
Mt1	4.29953876	7.153587793	6.39823173	4.978089028	6.462341219	5.095251163	6.405294888	5.677380593	4.834322313	0.465112341	-1.948601516
Hsd3b5	-0.486722381	-4.455639418	-6.001444453	-3.889689258	-5.247408268	-5.941898613	-5.55742813	-5.114578572	-5.403795113	-2.510523163	0.215234338
Elovl3	-0.063827502	-1.352155957	-5.115780418	-1.990027096	-2.877430595	-5.781304558	-6.507025911	-4.842175757	-5.884543614	-1.937966779	-0.455609971
Car3	-0.258950149	-0.521369556	-3.222845539	-5.682174105	-5.900647898	-5.394325925	-4.922217875	-4.846759359	-3.781847492	-1.194378378	-0.088989242
Ly6d	0.074133201	1.602092485	4.637481333	3.751527213	5.421748821	4.929467634	4.924181288	4.909168088	4.925759473	2.501967044	0.262428809
Cdc20	-0.299857213	-0.307058758	-0.293730891	-0.106276699	1.623964977	3.137885945	5.188546469	5.400512806	4.382476465	2.056675734	0.654428436
Igfbp1	3.130600394	3.408957425	0.519727239	0.383776579	2.32616865	-3.015905377	-0.619337457	0.562392174	-0.278905061	-0.793576785	-1.54696801
Cxcl1	0.396125037	6.14338208	2.651051748	3.125230296	3.869692	2.84842502	3.553034936	3.815558015	4.027011453	2.521086445	0.383216734
Orm2	-0.186315879	2.286819186	3.514727357	4.219600221	4.525035536	4.431041027	4.9004988	4.727603413	4.83786128	3.721160754	-0.079572619
Serpina4-ps1	1.012678823	2.304318483	-1.556959942	-0.862400662	-3.442534355	-2.601485961	-3.526586867	-3.398521915	-3.057386597	-2.665064946	0.555188804
Lpin1	2.635379122	1.048908854	-0.558892344	-2.048696988	-1.746329821	-1.98225963	-2.740150388	-1.028815478	-1.680413058	-1.816404986	-1.906125019
Serpina3n	0.388755027	4.949680879	5.127556846	4.278660089	3.444239054	3.244536919	3.891238712	3.621090523	2.584151504	0.836686534	-0.085478009
Cidec	1.046329635	3.874698976	5.671656513	1.503043715	4.444768309	3.294025604	1.191570007	0.525472735	0.336768276	0.057378691	0.028885181
Rgs16	2.705084557	0.422149279	-1.062559627	-1.980968608	-0.376945952	-1.942870968	-2.51602096	-2.089297942	-2.371261933	-2.024647966	-2.403620729
Thrsp	0.275594551	-0.528803808	-4.180821127	-3.634638921	-4.482439047	-2.540107191	-3.151210486	-2.97074897	-0.088621427	-0.440686424	-0.433713845
Inmt	-0.662634522	-1.358337745	-3.328141292	-5.141444771	-4.94581628	-2.89952102	-3.140120455	-3.573515061	-2.025613655	-0.796113288	-0.237809949
Stmn1	-0.356966706	-0.690036488	-0.625272913	0.063465496	1.106574224	2.863793009	4.562412055	4.264970416	3.254487432	1.08012671	0.013090763
Prtn3	-0.067289798	-0.079166315	0.276559692	1.938396698	2.128035503	2.734375891	4.329989761	4.418602798	4.775963683	2.434921119	0.010208031
Scd1	-0.522290827	-1.454901092	-1.807784693	-2.399062754	-3.28458996	-3.935189144	-4.583375301	-4.570254397	-1.207176573	0.619416385	-0.059237925
Adck3	-0.765067876	-3.141322788	-5.143489902	-1.788700338	-3.667600008	-4.140676792	-2.48450754	-2.15416107	-1.153107507	0.082682625	-0.152354589
Tifa	-0.534903029	4.704027989	2.171141855	2.00646399	3.17980275	1.741394843	3.467055287	2.976559455	3.160314924	1.781660053	0.563970543
A2m	0.010199514	3.174916195	3.508345471	2.803458535	0.307095273	0.752407511	1.32344019	0.840392624	1.070148313	0.053533666	0.001102556
Ube2c	-0.155081417	-0.168794176	-0.114537721	-0.037834648	1.5030832	2.518280226	4.586588697	4.782758985	3.577440804	0.943791996	0.053854267
Ccnb2	-0.057232048	-0.153639604	-0.131107956	-0.052096948	1.246624107	2.61022809	4.464276694	4.779861998	3.642952649	1.303785069	0.384385402
Cyp4a14	-0.166640242	2.402626924	2.863694552	2.421957656	2.619730749	2.906437153	2.126849849	2.200265515	1.204753021	0.293222458	-1.123432999
Cdk1	-0.065186456	-0.202496834	-0.254305109	0.115249233	1.180317949	2.985355455	4.556184387	4.538669605	3.558676409	1.091946582	0.138768126
Cdca3	-0.261652543	-0.349190171	-0.237652482	-0.097034284	1.041540999	2.560063368	4.512732738	4.566728601	3.559375822	1.133512133	0.091949505
Pbk	-0.109047362	-0.157113126	-0.20773587	0.098388706	1.176751675	2.901148629	4.777862729	4.245493988	3.492144549	1.041994669	0.111398401
Gm20419	0.917264075	3.19872459	5.338764139	2.417236964	4.894171764	3.677650951	1.875796553	1.840099606	1.890376332	1.085524993	0.730683987
Steap4	1.069277844	6.030481222	3.247242489	2.692667752	3.084650775	2.748643242	4.103515925	3.424394653	2.784940851	1.373094911	0.326879478
Gm4956	-0.383978978	-2.020984717	-4.058161531	-3.97494651	-4.232580024	-4.085093116	-4.154327309	-4.212603436	-3.437340375	-1.309506973	-0.490073961
Aqp8	-1.417247251	-3.941328476	-4.442750973	-3.205590031	-3.94850385	-3.695945641	-2.628727204	-2.130925332	-1.212024356	-0.391672387	-0.634857168
Apcs	-0.545876197	2.637809527	3.591995375	3.624312727	3.248566568	2.822915488	3.453655971	3.266254779	3.135164981	0.765237171	-0.43568474
Hamp2	-0.705563548	-0.916905041	-1.772187007	-3.292479966	-3.849440234	-3.590534474	-4.384028624	-4.063584263	-1.890656341	-0.105917253	-1.182136907
Apoa4	-0.165606883	1.453839211	3.545145913	2.577027186	4.007106479	3.490477057	3.495083114	3.634174264	3.012357653	0.889641785	-0.564386566
Gm11223	-0.340165452	-0.536438966	-0.529117452	0.006190429	0.992492602	2.58126828	4.295824991	3.975512445	2.979339016	0.941483037	-0.066004105
Upp2	1.112154346	-0.512581513	-3.962289394	-3.00309532	-2.993068228	-0.961072729	-3.077708751	-2.507191337	-2.025732517	-0.906126704	-0.394807919
Plk1	-0.039262244	0.001853497	-0.076385357	0.005826575	1.249230225	2.183574953	4.47394743	4.491373342	3.475186575	1.074318097	0.238868987
Isyna1	0.240375684	0.763222508	1.171753077	2.321676448	2.918187108	3.753314596	4.434155612	4.464890045	4.277219405	1.841487916	0.079334134
Ccna2	-0.081306656	-0.102296955	-0.116479233	0.071103627	1.037920185	2.665512718	4.283690928	4.21754471	3.390570346	1.203801396	0.25558612
mmu-mir-2134-2	-0.285802587	-1.259626545	-1.113416821	-1.610851555	0.66160757	-0.055536284	0.434981487	0.383129205	2.092800098	1.136870667	-1.888240133
Hsd3b3	-0.426845473	-1.915961853	-5.274355051	-2.277133343	-2.684426201	-2.060158456	-1.761027047	-1.560307029	-1.000970051	-0.08929182	0.016167721
Cdkn1a	2.443317897	2.818097308	-0.527198096	0.997296572	-0.847784145	0.161289487	1.509870522	1.319597473	0.770030703	-0.813191825	-1.709935453
Mfsd2a	2.807858889	3.100006994	3.305098597	1.042838576	2.796585524	2.389676515	0.794604325	0.446976919	0.554969238	-0.311455376	-1.278321826
Mki67	-0.108999914	-0.138065843	-0.155034786	0.068174859	0.917042498	2.527529144	4.407488169	3.958173347	3.369329438	1.128065561	0.167165095
Aurka	-0.039035771	-0.102927195	0.063727855	0.201348794	1.230561073	2.560440188	4.219634209	4.302915293	3.376877907	0.911026798	0.183357051
